iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
204,0.9993628979,0.9560112008,3.0388262559,0.0000000000,0.0400728723,2.2877538219
205,0.9966292135,0.6381520213,1.4527541267,0.0000000000,0.1950739100,0.6472380615
206,0.9984785717,0.6908438740,1.6343890357,0.0000000000,0.1573520656,0.6849448552
207,0.9971528258,0.6075717509,1.4572288049,0.0000000000,0.1985330887,0.8609790435
208,0.9938858971,0.8372263037,1.8330114578,0.0000000000,0.0848767766,0.4981904964
209,0.9876518542,0.7726297041,1.6431120588,0.0000000000,0.0886508892,0.4728936972
210,0.9958076660,0.7840872765,1.6179069485,0.0000000000,0.1230969381,0.4266371686
211,0.9956875267,0.8322635655,1.7606244295,0.0000000000,0.0909691766,0.4464543329
212,0.9972648281,0.7755935187,1.5925780343,0.0000000000,0.1286973550,0.4965599947
213,0.9990498893,0.7393180698,1.5589366454,0.0000000000,0.1964562379,0.6908571909
214,0.9966560474,0.8268300307,1.6638066269,0.0000000000,0.0931800377,0.3724413425
215,0.9997553370,0.7738304133,5.7168298348,0.0000000000,0.2597766524,7.7038221072
216,0.9995026002,0.6902363369,2.8820230005,0.0000000000,0.2655649814,5.1876579697
217,0.9992597675,0.5618843630,5.1930642894,0.0000000000,0.3166152282,8.6448580041
218,0.9951185495,0.4783885849,1.0966003898,0.0000000000,0.1407192566,0.6092126334
219,0.9912437755,0.8333037186,1.8253651284,0.0000000000,0.1884415545,0.8501726642
220,0.9967096469,0.5861287211,1.2432304365,0.0000000000,0.1643142398,0.4110393444
221,0.9981436812,0.5493508073,1.1708487046,0.0000000000,0.2050463643,0.5365565450
222,0.9974727615,0.7361487647,1.6551945082,0.0000000000,0.1818946565,0.7286929011
223,0.9987739917,0.8549449156,7.9255390906,0.0000000000,0.2958810041,7.2593926052
224,0.9932229384,0.8697914591,1.9157289781,0.0000000000,0.1003525013,0.6313499012
225,0.9980562501,0.4949285808,1.2859050628,0.0000000000,0.2360277434,0.9736962496
226,0.9892104638,0.7279514161,1.5694393229,0.0000000000,0.0888206206,0.3751530281
227,0.9995506244,0.9399027409,3.9996579787,0.0000000000,0.1291756931,9.2437637401
228,0.9957303991,0.8568884225,2.1524376733,0.0000000000,0.1593626193,1.2281781378
229,0.9935233586,0.8168606552,1.7126679782,0.0000000000,0.0863884891,0.4750097011
230,0.9927689256,0.8055499885,1.6459464110,0.0000000000,0.0853586227,0.4343584064
231,0.9911875471,0.8598734181,2.0597175187,0.0000000000,0.0839737728,1.2232881885
232,0.9985996096,0.9187920788,5.7277601857,0.0000000000,0.1708921610,5.8677309427
233,0.9920776449,0.7231885255,1.5579397720,0.0000000000,0.1162127423,0.4161221332
234,0.9993393019,0.8228308876,4.1443498518,0.0000000000,0.2895856487,6.3811115031
235,0.9884285033,0.7697796080,1.6648115073,0.0000000000,0.1102908722,0.5358225979
236,0.9985131550,0.7922997522,1.9977774800,0.0000000000,0.2099024118,1.8017265092
237,0.9991332630,0.7675583151,2.5988429918,0.0000000000,0.1915915763,3.4134750327
238,0.9996274260,0.9686311191,12.1744135972,0.0000000000,0.0120531933,17.4328320522
239,0.9908053023,0.8252295938,1.8771700086,0.0000000000,0.0852011881,0.7213186188
240,0.9990976785,0.6993124769,4.4250561944,0.0000000000,0.3287708944,8.0028377868
241,0.9856719920,0.7732922591,1.8125075943,0.0000000000,0.0823375872,0.7760059999
242,0.9892244898,0.7832428796,1.7092393957,0.0000000000,0.0837895145,0.4986854818
243,0.9929274749,0.7796240816,1.6759330288,0.0000000000,0.0987658586,0.5700658725
244,0.9937222734,0.6785457504,1.5026517784,0.0000000000,0.2171191165,0.7548573907
245,0.9995485248,0.7547954824,1.6914342414,0.0000000000,0.2023847679,0.8009131644
246,0.9982253961,0.7969542271,1.6580938741,0.0000000000,0.1539652767,0.5220252493
247,0.9997631105,0.7784148205,18.3579374915,0.0000000000,0.1761376722,42.0573872867
248,0.9907672372,0.7774857290,1.6104514142,0.0000000000,0.0970451820,0.4238432082
249,0.9873034102,0.7320019758,1.5663107022,0.0000000000,0.1097485835,0.5195902040
250,0.9921507064,0.8199964686,1.7609836476,0.0000000000,0.0867235755,0.4554245465
251,0.9929647714,0.8410819505,1.7218290678,0.0000000000,0.0977249281,0.4117175755
252,0.9871199004,0.8781147465,2.1168541216,0.0000000000,0.1230844026,0.9223190291
253,0.9872237247,0.8987145156,1.9270085601,0.0000000000,0.0606549139,0.5778935133
254,0.9943555349,0.7759753030,1.6538178404,0.0000000000,0.0997158154,0.5461956496
255,0.9915747034,0.7761565186,1.6804738350,0.0000000000,0.1256152774,0.4696527685
256,0.9834534604,0.8720644232,1.8826864524,0.0000000000,0.1198687842,0.9942088303
257,0.9720049870,0.7467408484,1.5298519884,0.0000000000,0.0854691082,0.3627347318
258,0.9919167826,0.8691045918,1.8806665500,0.0000000000,0.0937314492,0.5937283554
259,0.9995885822,0.6682477691,2.7868809092,0.0000000000,0.1851757896,3.8019608151
260,0.9996523724,0.8174502731,4.5886743866,0.0000000000,0.2328883944,8.5381460990
261,0.9924368953,0.8697082075,1.8342402717,0.0000000000,0.0863527116,0.5891578507
