iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
253,0.9872237247,0.8987983600,1.9293433583,0.0000000000,0.0670248388,0.7219289402
254,0.9943555349,0.7659612930,1.4779603081,0.0000000000,0.0648721933,0.3163980168
255,0.9915747034,0.7359786582,1.5478688030,0.0000000000,0.1167071923,0.3009598949
256,0.9834534604,0.8943441232,2.1023710795,0.0000000000,0.0165584198,1.0047909420
257,0.9720049870,0.7278388555,1.3815878070,0.0000000000,0.0884479746,0.1623495535
258,0.9919167826,0.8506592460,1.6411501267,0.0000000000,0.0885791782,0.4118421313
259,0.9995885822,0.6880928643,1.7139328998,0.0000000000,0.2158445675,1.0101342740
260,0.9996523724,0.8780636241,5.9729389981,0.0000000000,0.1963696988,7.5251794213
261,0.9924368953,0.7865243683,1.6695002624,0.0000000000,0.0869403988,0.3101242007
262,0.9905160597,0.8855793889,1.7824574570,0.0000000000,0.0524342605,0.3142710188
263,0.9962985696,0.7837814937,1.6534802105,0.0000000000,0.1135060785,0.4641757011
264,0.9943072415,0.7912624219,1.8036458723,0.0000000000,0.1298870368,0.7305644299
265,0.9994577368,0.8282283998,4.9155789879,0.0000000000,0.1911473725,8.5483681555
266,0.9968987074,0.7941063683,1.7956801638,0.0000000000,0.1815264071,0.7917681212
267,0.9985441692,0.9561686878,4.8094344126,0.0000000000,0.0200229038,3.4809159127
268,0.9956341240,0.8321065135,2.7647777856,0.0000000000,0.1794806858,1.1547570088
269,0.9901826427,0.8034424428,1.6770855400,0.0000000000,0.0644464125,0.4265404493
270,0.9994351843,0.6758286456,7.1729043254,0.0000000000,0.4389678254,13.5642562100
271,0.9979405941,0.5452643931,0.8974630572,0.0000000000,0.2333704649,0.3501433567
272,0.9934075564,0.7985111124,1.8185050471,0.0000000000,0.1131623390,0.8116092219
273,0.9940766953,0.7845900056,1.7613609034,0.0000000000,0.0738418613,0.2593614096
274,0.9924463989,0.7808777701,1.5146264799,0.0000000000,0.0620215401,0.2825519575
275,0.9928204691,0.9311044358,2.1231631264,0.0000000000,0.0385317134,0.6310446162
276,0.9977214377,0.8427087791,2.4056619613,0.0000000000,0.1358600196,1.7418817395
277,0.9950925204,0.7887217780,2.0506208501,0.0000000000,0.1159967530,0.7028962305
278,0.9926400687,0.8639332700,1.7048787497,0.0000000000,0.0766233716,0.3259219672
279,0.9935914642,0.8858542478,1.6592456919,0.0000000000,0.0489084866,0.2194369900
280,0.9919131055,0.8183443889,1.9272791124,0.0000000000,0.0961924043,0.5078648133
281,0.9955391478,0.8742894256,1.5954623449,0.0000000000,0.0856216852,0.2477823761
282,0.9950978585,0.8307962601,2.0495850829,0.0000000000,0.0970480520,0.6926758986
283,0.9948447428,0.8427613262,1.8067519226,0.0000000000,0.0711216995,0.3990990876
284,0.9990495882,0.8769584104,3.8694470735,0.0000000000,0.1119781247,4.3984237159
